título;sala;fecha;hora;más información;programa;precio;imagen;procedencia;función;categoría;link de compra;ciclo;sub-ciclo;descripción;ubicación
ORCAM. Tiempo de Cámara III. La Línea Invisible de Kódaly A Britten;Sala de Cámara;2025-02-08;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/orcam-la-linea-invisible-de-kodaly-a-britten;"

Coro de la Comunidad de Madrid Johannes Printz, DIRECTOR

Henry Balfour Gardiner / Evening Hymn
Benjamin Britten / Festival Te Deum, op.32
Zoltán Kodály / Missa Brevis (Kyrie y Gloria)
Maurice Duruflé / Scherzo, op.2
Benjamin Britten / An Hymn to the Virgin
Zoltán Kodály / Missa Brevis (Sanctus y Benedictus)
Gabriel Fauré / Cantique de Jean Racine
Maurice Duruflé / Fuga sobre el tema del Carrillón de las Horas de la Catedral de Soissons, op.12
Zoltán Kodály / Missa Brevis (Agnus Dei)
Benjamin Britten / Jubilate Deo";15 y 12 €;https://www.auditorionacional.mcu.es/es/programacion/orcam-la-linea-invisible-de-kodaly-a-britten/@@images/3443203c-2b0f-4042-bf7e-684074cd8aab.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 14;Sala Sinfónica;2025-02-09;11:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-14-1;"
Orquesta Nacional de España Anja Bihlmaier Directora Behzod Abduraimov Piano Samuel Coleridge-Taylor Balada en La menor, op. 33 Serguéi Rajmáninov Concierto para piano y orquesta núm. 2 en Do menor, op. 18 Béla Bartók Concierto para orquesta, Sz. 116";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-14-1/@@images/1e565755-c823-46cd-9522-b43456cb29a3.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Ibermúsica. 12 Chelistas de la Berliner Philharmoniker;Sala Sinfónica;2025-02-09;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-12-chelistas-de-la-berliner-philharmoniker;12 Chelistas de la Berliner Philharmoniker Programa Klengel Hymnus Blacher Blues, Española y Rumba Filarmónica Williams Catch me if you can Rota La Strada Gershwin Clap yo’ hands Shearing Lullaby of Birdland Tiziol / Ellington Caravan Dean Twelve Angry Men Giraud Sous le ciel de Paris Salgán A Don Agustín Bardi Kaiser-Lindemann The 12 in Bossa Nova Piazzolla Fuga y Misterio McCartney Yesterday;83, 70, 59, 55, 43, 34 y 20 €;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-12-chelistas-de-la-berliner-philharmoniker/@@images/9493b7ef-be97-4368-aee5-c2e93ac4e61c.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Satélite 13. Harmoniemusik;Sala de Cámara;2025-02-11;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-13-harmoniemusi;"Octeto de viento de la ONE Jesús Campo Director Álvaro Octavio Flauta José María Ferrero Oboe Enrique Pérez Javier Balaguer Clarinete Enrique Abargues José Masiá Fagot Pedro Jorge Eduardo Redondo Trompa
Wolfgang Amadeus Mozart Serenata para vientos en Do menor, K. 388/384a Ruth Gipps Octeto de viento, op. 65 Carl Reinecke: Octeto de viento en Si bemol mayor, op. 216";12 €;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-13-harmoniemusi/@@images/fbe20207-316c-4ec9-b335-45b4d9a10bbc.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Ibermúsica. Orchestre de la Suisse Romande;Sala Sinfónica;2025-02-11;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-orchestre-de-la-suisse-romande-1;"
Orchestre de la Suisse Romande Jonathan Nott, director Midori, violín Programa Obertura por determinar Stravinski La consagración de la primavera Concierto para violín en Re menor op.47";194, 161, 146, 130, 80, 70 y 45 €;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-orchestre-de-la-suisse-romande-1/@@images/6cb55a99-1066-4792-af7d-0ca8b89739c9.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Maelicum Conciertos. La Vida es Ópera;Sala Sinfónica;2025-02-12;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/maelicum-conciertos-la-vida-es-opera;"Estíbaliz Martyn / Guiomar Cantó, Soprano Enrique Ferrer / Vitaly Kovslchuk, Tenor José Manuel Conde / Lisandro Guinis, Barítono Zhamg Yidao / José Antonio García, Bajo Sergio Kuhlmann, piano PROGRAMA
Narrador Si può?, (Prólogo) “Pagliacci” (Leoncavallo) Barítono Escena I. Juventud Oh mio babbino caro, “Gianni Schicchi” (Giacomo Puccini) Barítono Dei miei bollenti spiriti, “La Traviata” (Giacomo Puccini) Tenor Tu non sai con quei begli occhi, «La Sonnambula» (Vincenzo Bellini) Bajo Ah, para siempre te creí , “I Puritani” (Vincenzo Bellini) Barítono Escena II. Amor y Romance Vogliatemi bene, “Madama Butterfly” (Giacomo Puccini) Soprano y Tenor Donde lieta uscì… “La Bohème” (Giacomo Puccini) Soprano Madamina, il catalogo è questo, “Don Giovanni“ (Mozart) Soprano y Tenor Donna non vidi mai, “Manon Lescaut” (Giacomo Puccini) Tenor Escena III. Desafíos y Superación Dio, che nell’alma infondere, “Don Carlo” (Giuseppe Verdi) Barítono y Tenor Non so le tetre immagini, “Il Corsaro” (Giuseppe Verdi) Soprano Madamigella Valery…?, «La Traviata» (Giuseppe Verdi) Barítono y Soprano Vecchia Zimarra senti, “La Boheme” (Giacomo Puccini) Bajo Escena IV. Tragedia y celebración del amor y la victoria sobre las dificultades Eri Tu!, “Un Ballo in maschera” (Giuseppe Verdi) Barítono Oh Figli… Ah la paterna mano, “Macbeth” (Giuseppe Verdi) Tenor Di Geloso amor sprezzato, “Il Trovatore” (Giuseppe Verdi) Tenor, Soprano, Barítono Studia il passo… Come dal ciel precipita, “Macbeth” (Giuseppe Verdi) Bajo Nessun Dorma, “Turandot” (Giacomo Puccini) Tenor Final Brindisi, “La Traviata” (Giuseppe Verdi) Soprano, Tenor, Barítono, Bajo";79, 63, 59, 49, 44, 39, 34, 29, 24, 19 y 10 €;https://www.auditorionacional.mcu.es/es/programacion/maelicum-conciertos-la-vida-es-opera/@@images/9f1cead3-35dd-4f15-aab3-0fcacdaf2332.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
CNDM. Les Arts Florissants;Sala de Cámara;2025-02-13;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-les-arts-florissants-10;Les Arts Florissants PAUL AGNEW, tenor y dirección Programa Antonio Draghi (ca. 1634-1700) Jephte (1680) Giacomo Carissimi (1605-1674) Historia di Jephte (1648);28, 21 y 14 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-les-arts-florissants-10/@@images/66eb516f-e59c-4cfe-9575-891ba85d205b.png;Auditorio Nacional;null;null;null;null;null;null;null
Film Symphony Orchestra. HollyLove;Sala Sinfónica;2025-02-14;19:00:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/film-symphony-orchestra-hollylove-2;"
Film Symphony Orchestra Constantino Martínez-Orts, director Bandas sonoras de Titanic, El guardaespaldas, Love Actually, Cinema Paradiso, Moulin Rouge, Memorias de una geisha, Star Wars, Lo que el viento se llevó, La La Land, Memorias de África, Desayuno con diamantes...";62, 57, 52, 47, 43, 37 y 29 €;https://www.auditorionacional.mcu.es/es/programacion/film-symphony-orchestra-hollylove-2/@@images/00509646-96cc-44f5-ad54-7dcc27e911d8.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
CNDM. Rocío Luna & Rafa del Calli;Sala de Cámara;2025-02-14;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-rocio-luna-rafa-del-calli;"
Rocío Luna, cantaora Rafa del Calli, cantaor Luis Medina, guitarra Alberto Rodríguez Parraguilla, palmas y jaleos Richard Gutiérrez, palmas y jaleos ""Raíces flamencas""";36, 27 y 18 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-rocio-luna-rafa-del-calli/@@images/a54b550e-bc84-44fb-b09b-fd4ef35faa4c.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
CNDM. Paolo Oreni;Sala Sinfónica;2025-02-15;12:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-paolo-oreni-1;"
Paolo Oreni, órgano
Programa Paolo Oreni (1979) Improvisaciones sobre la película de cine mudo El gabinete del doctor Caligari (1920), de Robert Wiene (1873-1938)";6 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-paolo-oreni-1/@@images/9d4e36de-6ce7-40f6-bddf-aed2d0843993.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
